# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 279K of event 'task-clock'
# Event count (approx.): 1403351583375
#
# Overhead  Command        Shared Object                                     Symbol                                                                                                                                                                                                                                                                                           
# ........  .............  ................................................  .................................................................................................................................................................................................................................................................................................
#
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x00000000001b9040
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x00000000001b91cb
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x00000000001b9284
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x00000000001b9a3e
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x00000000001b9b87
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x00000000001b9bc4
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x00000000001b9f0c
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x00000000001ba0a0
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x00000000001ba38b
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x00000000001ba6fe
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x00000000001bac7e
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x00000000001bb340
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x00000000001bb3a2
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x00000000001c0e05
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x00000000001c87c2
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x00000000001ca680
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x000000000023acfd
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x000000000023ad98
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x000000000023add8
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x000000000023e005
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x000000000023e0a0
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x000000000023e202
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x000000000023e4df
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x000000000023e9b7
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x000000000023ea9a
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x000000000023efc0
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x0000000000244190
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x000000000024434a
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x0000000000244385
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x000000000024a520
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x000000000024a644
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x000000000024bca8
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x000000000024bcac
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x000000000024d230
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x000000000024d4ab
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x000000000024d5e0
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x000000000024d611
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x000000000024de9b
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x000000000024dee3
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x000000000024e04a
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x000000000024eb20
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x000000000024f124
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x000000000024f2a0
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x000000000024f2a6
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x000000000024f375
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x000000000024f915
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x0000000000250342
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x00000000002503d3
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x0000000000250461
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x0000000000250717
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x000000000025084c
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x0000000000254012
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x0000000000254910
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x0000000000254989
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x000000000025821b
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x00000000002592dc
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x00000000002592ff
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x00000000002593d8
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x000000000025979f
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x000000000025a642
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x000000000025aa12
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x000000000025c160
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x000000000027db6e
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x00000000002acbbd
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x0000000000334f56
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x0000000000335697
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x000000000033a828
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x000000000042d041
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x000000000042d245
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x000000000042d2c1
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x000000000042d2ea
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x000000000042d869
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x000000000042e3cb
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x00000000004a9514
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x00000000004d1ae0
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x00000000004d3d35
     0.00%  pytest         _splitter.cpython-39-x86_64-linux-gnu.so          [.] 0x0000000000016dc5
     0.00%  pytest         bit_generator.cpython-39-x86_64-linux-gnu.so      [.] 0x000000000001181e
     0.00%  pytest         ld-linux-x86-64.so.2                              [.] _dl_name_match_p
     0.00%  pytest         ld-linux-x86-64.so.2                              [.] _dl_relocate_object
     0.00%  pytest         ld-linux-x86-64.so.2                              [.] check_match
     0.00%  pytest         ld-linux-x86-64.so.2                              [.] memcmp
     0.00%  pytest         ld-linux-x86-64.so.2                              [.] strcmp
     0.00%  pytest         libc.so.6                                         [.] __GI___libc_write
     0.00%  pytest         libc.so.6                                         [.] __mempcpy@plt
     0.00%  pytest         libc.so.6                                         [.] __mempcpy_avx512_unaligned_erms
     0.00%  pytest         libc.so.6                                         [.] __mempcpy_chk_avx512_unaligned
     0.00%  pytest         libc.so.6                                         [.] __memset_avx512_erms
     0.00%  pytest         libc.so.6                                         [.] __strcpy_evex
     0.00%  pytest         libc.so.6                                         [.] __strncmp_evex
     0.00%  pytest         libc.so.6                                         [.] __wmemset_chk_avx512_unaligned
     0.00%  pytest         libc.so.6                                         [.] unlink_chunk.constprop.0
     0.00%  pytest         libc.so.6                                         [.] 0x00000000001a67cd
     0.00%  pytest         libc.so.6                                         [.] 0x00000000001a6863
     0.00%  pytest         libc.so.6                                         [.] 0x00000000001a6872
     0.00%  pytest         libc.so.6                                         [.] 0x00000000001a687a
     0.00%  pytest         libc.so.6                                         [.] 0x00000000001a70ba
     0.00%  pytest         libm.so.6                                         [.] log2@@GLIBC_2.29
     0.00%  pytest         libopenblas64_p-r0-0cf96a72.3.23.dev.so           [.] 0x0000000000171662
     0.00%  pytest         libopenblas64_p-r0-0cf96a72.3.23.dev.so           [.] 0x00000000001717fa
     0.00%  pytest         libopenblas64_p-r0-0cf96a72.3.23.dev.so           [.] 0x0000000000171aca
     0.00%  pytest         libopenblas64_p-r0-0cf96a72.3.23.dev.so           [.] 0x0000000000171b04
     0.00%  pytest         libopenblas64_p-r0-0cf96a72.3.23.dev.so           [.] 0x0000000000171c23
     0.00%  pytest         libopenblas64_p-r0-0cf96a72.3.23.dev.so           [.] 0x0000000000350720
     0.00%  pytest         libopenblas64_p-r0-0cf96a72.3.23.dev.so           [.] 0x00000000003507be
     0.00%  pytest         libopenblas64_p-r0-0cf96a72.3.23.dev.so           [.] 0x00000000003507e8
     0.00%  pytest         libopenblas64_p-r0-0cf96a72.3.23.dev.so           [.] 0x00000000003507ef
     0.00%  pytest         libopenblas64_p-r0-0cf96a72.3.23.dev.so           [.] 0x0000000000350bf7
     0.00%  pytest         libopenblas64_p-r0-0cf96a72.3.23.dev.so           [.] 0x0000000000350d40
     0.00%  pytest         libopenblas64_p-r0-0cf96a72.3.23.dev.so           [.] 0x00000000012f9c70
     0.00%  pytest         libopenblas64_p-r0-0cf96a72.3.23.dev.so           [.] 0x00000000012f9caa
     0.00%  pytest         libopenblas64_p-r0-0cf96a72.3.23.dev.so           [.] 0x00000000012f9cb6
     0.00%  pytest         libopenblas64_p-r0-0cf96a72.3.23.dev.so           [.] 0x00000000012f9d00
     0.00%  pytest         libopenblas64_p-r0-0cf96a72.3.23.dev.so           [.] 0x00000000012f9d37
